epoch,lane_iou,lane_precision,lane_recall,lane_f1,miou,lr,train_ce_loss,train_lovasz_loss,train_total_loss,val_ce_loss,val_lovasz_loss,val_total_loss,train_lovasz_scaled,val_lovasz_scaled,train_lovasz_total_share,val_lovasz_total_share
1,0.3166935133535036,0.544307853935888,0.4309543427368201,0.4810436295792372,0.7041307513109242,0.0014,0.3185535185841908,0.33266994766891,0.4848884931026861,0.2609381122307645,0.283111166421117,0.4024936959250934,0.166334973834455,0.1415555832105585,0.343037577093482,0.35169639833788324
2,0.3740109779943139,0.5222506981385365,0.5685277468798925,0.5444075542107666,0.7292668599565798,0.0014,0.2015593508113946,0.2674864789262285,0.3353025903716555,0.2138796107688297,0.2667264545491586,0.3472428386410077,0.13374323946311426,0.1333632272745793,0.39887326642741056,0.38406329068302275
3,0.3681664677015087,0.5023117901296613,0.5795867587792014,0.5381895791087774,0.740446108003165,0.0014,0.1712751260207934,0.2478820478740341,0.2952161500696093,0.1981139065697789,0.2569710881966683,0.3265994513355609,0.12394102393701704,0.12848554409833415,0.419831448610765,0.39340404147318403
4,0.4287945303540514,0.5073690833849037,0.7346634327779155,0.6002186056070601,0.7702847199051615,0.0014,0.1545017120344082,0.2353241817961479,0.2721638027522391,0.1479745707190078,0.2371911558736529,0.2665701481306718,0.11766209089807395,0.11859557793682644,0.43232086599402103,0.4448944443647579
5,0.4313144259447113,0.6591331738757779,0.5551391639737309,0.602682985829659,0.7796589929357479,0.0014,0.1393761824146073,0.2236209908122967,0.2511866776914946,0.1909202244701899,0.223282089526765,0.3025612683630445,0.11181049540614835,0.1116410447633825,0.44512908261589046,0.3689865704470275
6,0.4747526066617326,0.5879648075453459,0.7114510171715203,0.6438403356836753,0.7946262490173831,0.0014,0.1288496996480811,0.2153023668400268,0.2365008830967969,0.1360250530363474,0.2106879618458657,0.241369033876496,0.1076511834200134,0.10534398092293284,0.45518300824252356,0.43644364494923316
7,0.4785996618577885,0.6451482037514115,0.6496047831901464,0.6473688236293135,0.7967400569265832,0.0014,0.1274846473584305,0.2132349886955565,0.2341021415777504,0.1452409182985623,0.216275605543827,0.253378721486984,0.10661749434777824,0.1081378027719135,0.45543152074227505,0.42678328368417673
8,0.4505310657931108,0.511920579896992,0.789780395977309,0.6211946457648223,0.781921639551587,0.0014,0.1175363528441862,0.2072420745076419,0.2211573901923437,0.1357319009386831,0.2228203588113602,0.2471420797079594,0.10362103725382095,0.1114101794056801,0.46853979043476807,0.45079405149187973
9,0.4538928701750773,0.5107300085867328,0.8030958574555352,0.6243828269416022,0.7881061703161766,0.0014,0.1148544646831678,0.2051502352134838,0.2174295821965768,0.1187808821236507,0.2253858864798935,0.2314738249509698,0.1025751176067419,0.11269294323994675,0.471762473948942,0.4868496179376527
10,0.4810463558730148,0.5832101037991512,0.7330551720769288,0.6496033752967281,0.7963316556637938,0.0014,0.1098335414615074,0.2015461625178055,0.2106066227163958,0.1358982097900783,0.2092625216968978,0.2405294713667697,0.10077308125890275,0.1046312608484489,0.4784896123357166,0.43500391138723554
11,0.4981530746674599,0.585338718311322,0.7698214220041295,0.6650229313557072,0.8054893768522852,0.0014,0.1084995279068544,0.1988218522185042,0.207910454147977,0.1231381670727084,0.2004791983196304,0.2233777660954122,0.0994109261092521,0.1002395991598152,0.4781429895703943,0.44874474712491963
12,0.459243385564022,0.5075420980864209,0.828353063631209,0.6294267153885599,0.788667122032968,0.0014,0.1063739136491645,0.1964343114463002,0.2045910695587798,0.1169999402145751,0.2247418648278754,0.2293708722469293,0.0982171557231501,0.1123709324139377,0.48006570342960125,0.48990933902437583
13,0.5158418076005116,0.6174853211140604,0.7580885475162122,0.6806011089205393,0.8128243691631561,0.0014,0.1037744777265069,0.1950898809248083,0.2013194180595496,0.1218324910926943,0.1946522410131163,0.2191586118708882,0.09754494046240415,0.09732612050655814,0.48452822585425265,0.44408987479759815
14,0.5085704547635514,0.5945416388622934,0.7786173494976923,0.6742415684433686,0.8101370882518165,0.0014,0.102875278374694,0.1932249388838154,0.1994877477923151,0.1182889395962572,0.1935807744558486,0.2150793264594136,0.0966124694419077,0.0967903872279243,0.48430277303290864,0.450021807401322
15,0.4788247623325099,0.5322249439204436,0.8267592781679673,0.6475747154480599,0.7975100559752448,0.0014,0.0980999739202349,0.1893910610687051,0.1927955044541861,0.1147455282483456,0.2198414579732343,0.2246662570370568,0.09469553053435255,0.10992072898661714,0.4911708434407764,0.48926229704573143
16,0.467874386631518,0.5098600090040151,0.8503378775264199,0.6374855926264881,0.792989259510675,0.0014,0.1008318505994574,0.1912232725005918,0.1964434865689515,0.1140910166393344,0.2182337901839572,0.2232079116317133,0.0956116362502959,0.1091168950919786,0.4867131912604101,0.48885764977729984
17,0.4882209649909027,0.5501107873381827,0.8127192301518592,0.6561135429158358,0.8032135961601238,0.0014,0.0967020642704828,0.1873104090874629,0.1903572688083935,0.1117446235458677,0.2035198916111969,0.2135045696101669,0.09365520454373145,0.10175994580559845,0.4919969966474003,0.47661717962945527
18,0.523048107081327,0.6299487751362556,0.7550364501762566,0.6868438424885519,0.8174073701842198,0.0014,0.092615447720866,0.1858137266612049,0.1855223111262352,0.1128719002681059,0.1925672224127791,0.2091555114473319,0.09290686333060245,0.09628361120638955,0.5007853921536461,0.4603446045486352
19,0.5015767909345465,0.5761077455123108,0.7949591665767252,0.6680667868106523,0.8051662714629128,0.0014,0.0937150427240653,0.1863367572886435,0.1868834213048605,0.1179685206100758,0.2033397102495655,0.2196383756766509,0.09316837864432174,0.10166985512478274,0.4985374197122461,0.4628965899586689
20,0.4976652473971029,0.5633342618726009,0.8102166238727219,0.6645880957203624,0.805702277469706,0.0014,0.0913906254847774,0.1834468533182597,0.1831140521721079,0.1124782270260362,0.196522873328326,0.2107396640349179,0.09172342665912984,0.098261436664163,0.500908726398122,0.46626930489877716
21,0.5083473089792512,0.5779713412994056,0.8084274107306213,0.6740454349645332,0.8099479612755066,0.0014,0.0938240525250499,0.1834305691998451,0.1855393372423914,0.1118694426284896,0.2001727693817681,0.2119558270270418,0.09171528459992255,0.10008638469088404,0.4943171942028892,0.472203978039796
22,0.4678680393907126,0.5137604992357029,0.8396851602401477,0.6374797009476638,0.7929533348275367,0.0014,0.0880157753403683,0.1780893286882803,0.1770604397017701,0.1184223214655907,0.2108965893534736,0.2238706163958543,0.08904466434414016,0.1054482946767368,0.5029054739394164,0.47102338115816045
23,0.5040781037464076,0.6128998448832432,0.739518284987316,0.670281819130048,0.8061872392448884,0.0014,0.088374011613557,0.1799255870822576,0.1783368050638618,0.129916682275426,0.2120018651398519,0.2359176145763033,0.0899627935411288,0.10600093256992595,0.5044544423060255,0.4493133450857348
24,0.5032511969762651,0.570381792888215,0.8104597379574697,0.6695503692111292,0.8073845251338891,0.0014,0.0873754090545217,0.1793077676703527,0.1770292927719781,0.1112186585966911,0.2030098839145567,0.2127236009032155,0.08965388383517635,0.10150494195727836,0.5064353047529523,0.4771682198227777
25,0.4785933731954676,0.5509099758911528,0.7847582213410902,0.6473630707016544,0.7959742759555758,0.0014,0.0865841119120636,0.1777381831898498,0.1754532034653399,0.118532888780141,0.2060987536821307,0.2215822651413166,0.0888690915949249,0.10304937684106535,0.5065116500564816,0.4650614830358578
26,0.5116265423819742,0.5806597078197601,0.8114435678788797,0.6769218825382214,0.812201589923113,0.0014,0.0860555638165759,0.1763950038329971,0.1742530658847154,0.1094820517167035,0.1947474645373101,0.2068557844549003,0.08819750191649856,0.09737373226865505,0.5061460552714143,0.4707324599370096
27,0.5426594966220241,0.635132739661364,0.7884556423696963,0.7035376216336666,0.8232388764440427,0.0007,0.0806766535578986,0.172192515946467,0.1667729115468883,0.116948023226319,0.1867037913580942,0.2102999186945251,0.0860962579732335,0.0933518956790471,0.5162484553076084,0.443898867191894
28,0.533205909484807,0.6212013271184026,0.7900991021777626,0.6955437703262919,0.820792703232977,0.0007,0.0811628199303884,0.1709785530416913,0.1666520961789125,0.1105652057940864,0.1892640406033024,0.2051972263647864,0.08548927652084565,0.0946320203016512,0.5129805053821047,0.46117592317461686
29,0.5053241960991038,0.5707006980678733,0.8151981316477547,0.6713825465751506,0.80941592614264,0.0007,0.0786657875903544,0.1699434639207601,0.1636375195300608,0.1122134908257673,0.1985773008446105,0.2115021413166282,0.08497173196038005,0.09928865042230525,0.5192680273106342,0.46944513092974166
30,0.5356223238182217,0.6279126579670183,0.7846774621714893,0.6975964278592054,0.8219709813101649,0.0007,0.0781225287349461,0.1696834615596313,0.1629642596341878,0.1136832430182645,0.1868469991721212,0.2071067430725735,0.08484173077981565,0.0934234995860606,0.520615569145426,0.4510886425041386
31,0.5138462743442089,0.5796713111825652,0.8190063423225873,0.6788618937769025,0.8122369909614707,0.0007,0.0773598566846038,0.1675030810148294,0.1611113970310443,0.1089114611256971,0.1951472895271662,0.2064851058336595,0.0837515405074147,0.0975736447635831,0.5198362254364709,0.4725456800849674
32,0.5253487030969778,0.5918782251399829,0.8237497733183952,0.6888244006506065,0.8175848034949743,0.0007,0.0789248020372128,0.1689782134728939,0.1634139085887,0.1129642929920616,0.1897466316081894,0.2078376085161128,0.08448910673644695,0.0948733158040947,0.5170251875505861,0.45647809595893973
33,0.5231649516846044,0.6187491328665826,0.7720343537485272,0.6869445769560144,0.8134960678466312,0.0007,0.0787553768079117,0.1694606294704938,0.1634856916044774,0.1240737425137518,0.1936141839354402,0.2208808342874464,0.0847303147352469,0.0968070919677201,0.5182735804197215,0.4382774643169756
34,0.5260102751150947,0.603998459864138,0.802909624584787,0.6893928352814294,0.8163995839866548,0.0007,0.0759092779646442,0.1654602872619228,0.1586394216676628,0.1162445400932079,0.1912747501408578,0.2118819155678566,0.0827301436309614,0.0956373750704289,0.5214980158227921,0.4513711083558728
35,0.5329562427159997,0.6199921290830381,0.7915131144287606,0.695331318487917,0.8201178887236164,0.0007,0.0764846467297596,0.167554084479042,0.1602616889044995,0.1119592946837656,0.1873376941114353,0.2056281423817078,0.083777042239521,0.09366884705571765,0.5227515247854653,0.45552542551223385
